name,country
Air Canada,canada
Air Inuit,canada
Air Labrador,canada
Air Transat,canada
CanJet,canada
First Air,canada
Harmony Airways,canada
Porter Airlines,canada
Provincial Airlines,canada
Skyservice,canada
Sunwing,canada
Tango,canada
West Coast Air,canada
WestJet,canada
Zip,canada
Zoom Airlines,canada
Aerolitoral,mexico
AeroMexico,mexico
Alma de México,mexico
Aviacsa,mexico
Avolar,mexico
Click,mexico
Mexicana,mexico
vivaAerobus,mexico
Alaska,usa
America West,usa
America West Express,usa
Desert Sun,usa
Mountain West,usa
American Airlines,usa
AMR Corp.,usa
Continental Airlines,usa
Delta Air Lines,usa
Delta Connection,usa
Atlantic Southeast Airlines,usa
Comair,usa
Frontier,usa
JetBlue,usa
Northwest Airlines,usa
Southwest Airlines,usa
United Airlines,usa
United Express,usa
Air Wisconsin,usa
Atlantic Coast Airlines,usa
Great Lakes Aviation,usa
Star Alliance,usa
USAir,usa
USAir Express,usa
Air Midwest,usa
Florida Gulf,usa
Liberty Express,usa
AirTran,usa
Allegiant Air,usa
American Trans Air,usa
ATA Connection,usa
Atlantic Southeast Airlines,usa
Baltia Air Lines,usa
BigSky Airlines,usa
California Pacific Airlines,usa
Comair,usa
Go!,usa
Great Lakes Airlines,usa
Gulfstream International,usa
Hawaiian,usa
Interstate Jet,usa
Jet America,usa
Mesa Air,usa
Midwest Express,usa
Mokulele Airlines,usa
North American Airlines,usa
Pen Air,usa
Primaris Airlines,usa
Shoreline Aviation,usa
Shuttle America,usa
SkyValue,usa
Southeast Airlines,usa
Spirit Airlines,usa
Sun Country,usa
USA 3000 Airlines,usa
US Helicopter,usa
Virgin America,usa
World Airways,usa
AB Airlines,europe
Adria Airways,europe
AerArann,europe
Aer Lingus,europe
Aeroflot,europe
AeroSvit,europe
Air Comet,europe
Air Dolomiti,europe
Air France,europe
Air Gozo,europe
Air Malta,europe
Air One,europe
Air Polonia,europe
Air Scotland,europe
Air UK,europe
Alitalia,europe
AOM French Airlines,europe
Atlasjet,europe
Aurigny,europe
Austrian,europe
Belavia,europe
Blue1,europe
Braathens SAFE,europe
British Airways,europe
bmi British Midland,europe
bmiBaby,europe
Brussels Airlines,europe
Cargolux,europe
Carpatair,europe
Centralwings,europe
Cimber Sterling,europe
Corsair,europe
Croatia Airlines,europe
Crossair,europe
easyJet,europe
Eurofly,europe
Finnair,europe
Japanese,europe
Finncomm Airlines,europe
Flybe,europe
FlyGlobespan,europe
FreshAer,europe
Futura,europe
German Wings,europe
Hapag-Lloyd Express,europe
Iberia,europe
Icelandair,europe
Iceland Express,europe
Jet2,europe
KLM,europe
Lauda Air,europe
LOT Polish Airlines,europe
LTU,europe
Lufthansa,europe
Luxair,europe
Macedonian Airlines,europe
Malév,europe
MK Airlines,europe
Monarch Airlines,europe
Olympic,europe
OpenSkies,europe
Portugália,europe
Ryanair,europe
Scandinavian Airlines System (SAS),europe
Sky Europe,europe
SN Brussels Airlines,europe
ScotAirways,europe
Spanair,europe
Suckling Airways - now ScotAirways,europe
Swiss,europe
Swiss Skies,europe
TAROM,europe
Tatarstan Airlines,europe
Thomsonfly,europe
Titan Airways,europe
Transwede,europe
Virgin Atlantic,europe
Virgin Express,europe
Widerøe,europe
Vueling,europe
Wizz Air,europe
Zoom Airlines,europe
AIRES,south america
AeroGal - Aerolíneas Galápagos,south america
Aeropostal de Venezuela,south america
Arg,south america
Azul,south america
Blue Wing Airlines,south america
Brasmex,south america
Conviasa,south america
Gol,south america
LAN Chile,south america
LAPA,south america
TAM Airlines,south america
TAME,south america
TransBrasil,south america
TRIP Linhas Aereas,south america
Varig,south america
VASP,south america
West Caribbean Airways,south america
ALM Antillean Airlines,central america
Bahamasair,central america
Caribbean Sun Airlines,central america
Cape Air,central america
Cayman Airways,central america
COPA Panama,central america
Cubana,central america
Island Air,central america
TACA,central america
Travelair,central america
Aeropelican,austrailia
Air Chathams,austrailia
Air New Zealand,austrailia
Air Niugini,austrailia
Air Pacific,austrailia
Air Paradise,austrailia
Air Rarotonga,austrailia
Air Tahiti-Nui,austrailia
Air Vanuatu,austrailia
Chathams Pacific,austrailia
Fiji Airways,austrailia
Jetstar,austrailia
Macair Airlines,austrailia
Norfolk Air,austrailia
Polynesian Airlines,austrailia
Qantas,austrailia
Skywest Airlines,austrailia
Solomon Airlines,austrailia
Tiger Airways,austrailia
Vanair,austrailia
Virgin Blue,austrailia
Air Arabia,middle east
Bahrain Air,middle east
El Al,middle east
Emirates,middle east
Etihad,middle east
Gryphon,middle east
Gulf Air,middle east
Kuwait Airways,middle east
MEA,middle east
Nas Air,middle east
Oman Air,middle east
Palestinian Airlines,middle east
Qatar Airways,middle east
Royal Jordanian,middle east
Royal Wings,middle east
Saudi Arabian Airlines,middle east
Syrian Arab Airlines,middle east
Turkish Airlines,middle east
Yemenia,middle east
Yemen Airways,middle east
Middle East Airlines,middle east
ADC Airlines,africa
Afriqiyah Airways,africa
Air Mauritius,africa
Air Seychelles,africa
Air Zimbabwe,africa
Arik Air,africa
ASKY Airlines,africa
Dana Air,africa
EgyptAir,africa
Ethiopian Airlines,africa
Hewa Bora Airways,africa
Kenya Airways,africa
Kulula,africa
Mango,africa
MK Airlines,africa
Nationwide Airlines,africa
RwandAir,africa
South African Airways,africa
Sudan Airways,africa
Velvet Sky,africa
Yemenia,africa
Zambezi Airlines,africa
Adam Air Indonesia,asia
Air Astana,asia
Air China,asia
Air India,asia
Air India Express,asia
Air Kazakhstan,asia
Air Koryo,asia
All Nippon,asia
Asiana,asia
Bouraq,asia
Cathay Pacific,asia
China Air,asia
China Eastern,asia
China Southern Airlines,asia
Druk Air ,asia
EVA Air,asia
Eznis Airways,asia
Garuda Indonesia,asia
Georgia National Airlines,asia
Georgian Airways,asia
GoAir,asia
Indian Airlines,asia
Japan Airlines,asia
Jet Airways,asia
Kingfisher Airlines,asia
Korean Air,asia
Lion Air,asia
Malaysia,asia
Oasis Hong Kong,asia
Pacific Airlines,asia
Pakistan International Airlines,asia
Pamir Airways,asia
Philippine Airlines,asia
Phuket Air,asia
Royal Air Cambodge,asia
Royal Brunei,asia
Sempati Air,asia
Singapore Airlines,asia
Skynet Asia Airlines,asia
Somon Air,asia
Sri Lankan,asia
Thai Airways International,asia
Royal Bhutan Airlines,asia
ANA,asia
